        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603191800,   6.777,   7.507,   0.200,   0.530,   7.507,   0.100,   7.407,   0.300,   7.607
202603191806,   6.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191812,   7.087,   7.776,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191818,   7.226,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191824,   7.353,   8.006,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191830,   7.471,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191836,   7.579,   8.216,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191842,   7.678,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191848,   7.769,   8.416,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191854,   7.851,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191900,   7.924,   8.587,   0.200,   0.463,   8.587,   0.100,   8.487,   0.300,   8.687
202603191906,   7.990,   8.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191912,   8.048,   8.728,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191918,   8.097,   8.787,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191924,   8.139,   8.846,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191930,   8.171,   8.888,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191936,   8.195,   8.937,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191942,   8.209,   8.957,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191948,   8.214,   8.987,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603191954,   8.209,   8.997,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192000,   8.193,   8.997,   0.200,   0.604,   8.997,   0.100,   8.897,   0.300,   9.097
202603192006,   8.166,   8.987,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192012,   8.128,   8.957,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192018,   8.080,   8.918,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192024,   8.020,   8.869,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192030,   7.948,   8.796,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192036,   7.866,   8.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192042,   7.774,   8.626,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192048,   7.671,   8.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192054,   7.559,   8.386,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192100,   7.438,   8.268,   0.200,   0.630,   8.268,   0.200,   8.268,   0.300,   8.368
202603192106,   7.309,   8.137,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192112,   7.173,   7.996,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192118,   7.030,   7.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192124,   6.883,   7.707,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192130,   6.731,   7.566,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192136,   6.575,   7.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192142,   6.417,   7.258,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192148,   6.258,   7.107,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192154,   6.098,   6.956,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192200,   5.938,   6.799,   0.300,   0.561,   6.799,   0.200,   6.699,   0.300,   6.799
202603192206,   5.778,   6.648,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192212,   5.620,   6.487,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192218,   5.463,   6.346,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192224,   5.309,   6.209,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192230,   5.157,   6.058,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192236,   5.007,   5.917,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192242,   4.859,   5.789,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192248,   4.714,   5.657,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192254,   4.572,   5.516,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192300,   4.432,   5.389,   0.300,   0.657,   5.389,   0.200,   5.289,   0.300,   5.389
202603192306,   4.294,   5.247,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192312,   4.159,   5.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192318,   4.026,   5.008,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192324,   3.894,   4.887,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192330,   3.765,   4.759,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192336,   3.637,   4.647,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192342,   3.511,   4.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192348,   3.387,   4.418,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603192354,   3.265,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200000,   3.144,   4.080,   0.300,   0.636,   4.080,   0.300,   4.080,   0.400,   4.180
202603200006,   3.025,   4.080,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200012,   2.908,   3.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200018,   2.792,   3.847,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200024,   2.679,   3.729,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200030,   2.567,   3.627,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200036,   2.458,   3.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200042,   2.350,   3.407,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200048,   2.244,   3.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200054,   2.139,   3.197,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200100,   2.037,   3.099,   0.300,   0.762,   3.099,   0.300,   3.099,   0.400,   3.199
202603200106,   1.935,   2.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200112,   1.836,   2.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200118,   1.737,   2.778,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200124,   1.640,   2.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200130,   1.544,   2.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200136,   1.449,   2.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200142,   1.355,   2.377,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200148,   1.263,   2.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200154,   1.172,   2.177,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200200,   1.084,   2.089,   0.300,   0.705,   2.089,   0.300,   2.089,   0.400,   2.189
202603200206,   0.998,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200212,   0.915,   1.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200218,   0.837,   1.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200224,   0.763,   1.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200230,   0.695,   1.639,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200236,   0.635,   1.557,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200242,   0.583,   1.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200248,   0.540,   1.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200254,   0.509,   1.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200300,   0.490,   1.249,   0.400,   0.359,   1.249,   0.300,   1.149,   0.400,   1.249
202603200306,   0.485,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200312,   0.496,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200318,   0.523,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200324,   0.567,   1.039,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200330,   0.630,   1.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200336,   0.713,   1.039,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200342,   0.815,   1.098,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200348,   0.937,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200354,   1.079,   1.479,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603200400,   1.241,   1.781,   0.400,   0.140,   1.781,   0.300,   1.681,   0.400,   1.781
202603200406,   1.423,   2.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
